Niveau de vie Commune,Niveau de vie Département,DEPCOM,PTOT,Nom_commune,Code_postal,coordonnees_gps,lng,lat
24490,,01129,270.0,CRANS,1320.0,"45.966451737,5.195121184",45.966451737,5.195121184
22970,,01130,2327.0,BRESSE VALLONS,1340.0,"46.324861585,5.18476155",46.324861585,5.18476155
22970,,01130,2327.0,BRESSE VALLONS,1340.0,"46.324861585,5.18476155",46.324861585,5.18476155
24390,,01133,403.0,CRESSIN ROCHEFORT,1350.0,"45.782891957,5.765321336",45.782891957,5.765321336
23210,,01134,1777.0,CROTTET,1290.0,"46.283058978,4.877612001",46.283058978,4.877612001
23210,,01134,1777.0,CROTTET,1750.0,"46.283058978,4.877612001",46.283058978,4.877612001
38240,,01135,2201.0,CROZET,1170.0,"46.291682935,5.995342333",46.291682935,5.995342333
23120,,01136,888.0,CRUZILLES LES MEPILLAT,1290.0,"46.221287172,4.875091409",46.221287172,4.875091409
20130,,01138,3082.0,CULOZ,1350.0,"45.856261299,5.783896526",45.856261299,5.783896526
21020,,01139,445.0,CURCIAT DONGALON,1560.0,"46.488378441,5.162792791",46.488378441,5.162792791
24370,,01140,789.0,CURTAFOND,1310.0,"46.272845103,5.102586674",46.272845103,5.102586674
24320,,01141,463.0,CUZIEU,1300.0,"45.819789364,5.676212455",45.819789364,5.676212455
24420,,01142,4772.0,DAGNEUX,1120.0,"45.853464731,5.072826764",45.853464731,5.072826764
43030,,01143,9878.0,DIVONNE LES BAINS,1220.0,"46.37578263,6.115899041",46.37578263,6.115899041
22140,,01145,1187.0,DOMPIERRE SUR VEYLE,1240.0,"46.067062083,5.2163499810000005",46.067062083,5.2163499810000005
22380,,01146,445.0,DOMPIERRE SUR CHALARONNE,1400.0,"46.141693057,4.901548737",46.141693057,4.901548737
20490,,01147,489.0,DOMSURE,1270.0,"46.424615516,5.293568072",46.424615516,5.293568072
22710,,01148,1890.0,DORTAN,1590.0,"46.313828684,5.641766262",46.313828684,5.641766262
26120,,01149,1067.0,DOUVRES,1500.0,"45.984380884,5.371822689",45.984380884,5.371822689
23130,,01150,221.0,DROM,1250.0,"46.219911371,5.368203702",46.219911371,5.368203702
23810,,01151,1178.0,DRUILLAT,1160.0,"46.067401882,5.292863665",46.067401882,5.292863665
26460,,01152,777.0,ECHALLON,1130.0,"46.227375756,5.732820146",46.227375756,5.732820146
46570,,01153,2205.0,ECHENEVEX,1170.0,"46.316213201,6.019973941",46.316213201,6.019973941
22610,,01155,147.0,EVOSGES,1230.0,"45.965059972,5.502978842",45.965059972,5.502978842
25030,,01156,818.0,FARAMANS,1800.0,"45.910645635,5.124850948",45.910645635,5.124850948
26080,,01157,2246.0,FAREINS,1480.0,"46.02127524,4.76219161",46.02127524,4.76219161
33810,,01158,1049.0,FARGES,1550.0,"46.166776481,5.900181528",46.166776481,5.900181528
22720,,01159,3360.0,FEILLENS,1570.0,"46.336262989,4.885623771",46.336262989,4.885623771
27650,,01160,9928.0,FERNEY VOLTAIRE,1210.0,"46.251506821,6.107612983",46.251506821,6.107612983
22280,,01163,2124.0,FOISSIAT,1340.0,"46.37851841,5.184539825",46.37851841,5.184539825
24420,,01165,1643.0,FRANCHELEINS,1090.0,"46.073642487,4.812560271",46.073642487,4.812560271
24420,,01165,1643.0,FRANCHELEINS,1090.0,"46.073642487,4.812560271",46.073642487,4.812560271
24420,,01165,1643.0,FRANCHELEINS,1090.0,"46.073642487,4.812560271",46.073642487,4.812560271
25420,,01166,2407.0,FRANS,1480.0,"45.993691889,4.780690701",45.993691889,4.780690701
23960,,01167,672.0,GARNERANS,1140.0,"46.21348428,4.8289069090000005",46.21348428,4.8289069090000005
24340,,01169,632.0,GENOUILLEUX,1090.0,"46.120504129,4.793274771",46.120504129,4.793274771
22950,,01170,1079.0,BEARD GEOVREISSIAT,1460.0,"46.189954141,5.551650441",46.189954141,5.551650441
23720,,01171,917.0,GEOVREISSET,1100.0,"46.251946688,5.613829996",46.251946688,5.613829996
32900,,01173,13375.0,GEX,1170.0,"46.347299128,6.046241081",46.347299128,6.046241081
24460,,01174,187.0,GIRON,1130.0,"46.223710673,5.780900995",46.223710673,5.780900995
21610,,01175,860.0,GORREVOD,1190.0,"46.415025686,4.950803093",46.415025686,4.950803093
22490,,01177,183.0,GRAND CORENT,1250.0,"46.207878942,5.433975906",46.207878942,5.433975906
23120,,01179,1928.0,GRIEGES,1290.0,"46.263562027,4.8465959640000005",46.263562027,4.8465959640000005
48590,,01180,853.0,GRILLY,1220.0,"46.331834436,6.113479251",46.331834436,6.113479251
24280,,01181,1281.0,GROISSIAT,1100.0,"46.226480597,5.612552487",46.226480597,5.612552487
25180,,01183,1477.0,GUEREINS,1090.0,"46.106683459,4.782509441",46.106683459,4.782509441
22130,,01184,797.0,HAUTECOURT ROMANECHE,1250.0,"46.161413177,5.429657892",46.161413177,5.429657892
22130,,01184,797.0,HAUTECOURT ROMANECHE,1250.0,"46.161413177,5.429657892",46.161413177,5.429657892
22070,,01185,5031.0,PLATEAU D HAUTEVILLE,1110.0,"45.939605942,5.583780117",45.939605942,5.583780117
22070,,01185,5031.0,PLATEAU D HAUTEVILLE,1110.0,"45.939605942,5.583780117",45.939605942,5.583780117
22070,,01185,5031.0,PLATEAU D HAUTEVILLE,1110.0,"45.939605942,5.583780117",45.939605942,5.583780117
22070,,01185,5031.0,PLATEAU D HAUTEVILLE,1110.0,"45.939605942,5.583780117",45.939605942,5.583780117
21820,,01187,691.0,HAUT VALROMEY,1260.0,"46.047457905,5.687540901",46.047457905,5.687540901
21820,,01187,691.0,HAUT VALROMEY,1260.0,"46.047457905,5.687540901",46.047457905,5.687540901
21820,,01187,691.0,HAUT VALROMEY,1260.0,"46.047457905,5.687540901",46.047457905,5.687540901
21820,,01187,691.0,HAUT VALROMEY,1260.0,"46.047457905,5.687540901",46.047457905,5.687540901
22470,,01188,644.0,ILLIAT,1140.0,"46.186478333,4.888314493",46.186478333,4.888314493
27020,,01189,1162.0,INJOUX GENISSIAT,1200.0,"46.049881793,5.759597323",46.049881793,5.759597323
27020,,01189,1162.0,INJOUX GENISSIAT,1200.0,"46.049881793,5.759597323",46.049881793,5.759597323
22970,,01191,160.0,IZENAVE,1430.0,"46.03763861,5.524740228",46.03763861,5.524740228
22680,,01192,2309.0,IZERNORE,1580.0,"46.21820091,5.563094625",46.21820091,5.563094625
24260,,01193,242.0,IZIEU,1300.0,"45.655823494,5.63926904",45.655823494,5.63926904
22630,,01194,6458.0,JASSANS RIOTTIER,1480.0,"45.978297107,4.759283906",45.978297107,4.759283906
24550,,01195,1807.0,JASSERON,1250.0,"46.214830635,5.312466653",46.214830635,5.312466653
22100,,01196,1194.0,JAYAT,1340.0,"46.36571091,5.114295085",46.36571091,5.114295085
25200,,01197,369.0,JOURNANS,1250.0,"46.146728348,5.334420467",46.146728348,5.334420467
24220,,01198,274.0,JOYEUX,1800.0,"45.950086711,5.102600154",45.950086711,5.102600154
21940,,01199,2200.0,JUJURIEUX,1640.0,"46.049910068,5.410944213",46.049910068,5.410944213
22240,,01200,212.0,LABALME,1450.0,"46.093436165,5.49340661",46.093436165,5.49340661
22430,,01202,7289.0,LAGNIEU,1150.0,"45.891820194,5.329446323",45.891820194,5.329446323
23080,,01203,1251.0,LAIZ,1290.0,"46.247074358,4.898839832",46.247074358,4.898839832
