Insee - Statistiques locales; ; ; ; 
Référentiel géographique : France par commune; ; ; ; 
Code;Libellé;Population municipale 2020;Répartition de la pop. en 3 classes d'âges 2019 - Moins de 25 ans;Répartition de la pop. en 3 classes d'âges 2019 - Entre 25 et 64 ans;Répartition de la pop. en 3 classes d'âges 2019 - 65 ans ou plus;Part des pers. âgées de 25 à 64 ans 2019
02083;Beuvardes;751;221;402;128;53.5
02084;Bézu-le-Guéry;255;77;147;33;57
02085;Bézu-Saint-Germain;1003;383;551;81;54.3
02086;Bichancourt;999;288;514;204;51.1
02087;Bieuxy;34;8;19;7;55.9
02088;Bièvres;88;28;46;18;50
02089;Billy-sur-Aisne;1146;295;554;299;48.3
02090;Billy-sur-Ourcq;203;66;113;28;54.6
02091;Blanzy-lès-Fismes;94;23;49;23;51.6
02093;Blérancourt;1306;424;612;262;47.1
02094;Blesmes;469;148;230;85;49.6
02095;Bohain-en-Vermandois;5703;1904;2613;1169;46
02096;Bois-lès-Pargny;194;60;110;27;55.7
02097;Boncourt;261;71;148;37;57.9
02098;Bonneil;378;115;200;64;52.8
02099;Bonnesvalyn;216;67;133;21;60.2
02100;Bony;138;48;75;15;54.3
02101;Bosmont-sur-Serre;186;59;89;44;46.4
02102;Bouconville-Vauclair;188;63;105;23;55.1
02103;Boué;1331;409;657;272;49.1
02104;Bouffignereux;98;23;54;22;54.5
02105;Bouresches;193;56;102;39;51.8
02106;Bourg-et-Comin;810;242;361;207;44.6
02107;Bourguignon-sous-Coucy;105;36;53;18;49.5
02108;Bourguignon-sous-Montbavin;158;46;75;37;47.5
02109;La Bouteille;473;134;238;103;50.1
02110;Braine;2232;631;1066;538;47.7
02111;Brancourt-en-Laonnois;726;232;375;114;52
02112;Brancourt-le-Grand;554;163;299;91;54
02114;Brasles;1558;376;693;493;44.4
02115;Braye-en-Laonnois;186;54;95;42;49.7
02116;Braye-en-Thiérache;142;40;67;41;45.5
02117;Bray-Saint-Christophe;67;21;37;10;54.5
02118;Braye;129;35;64;29;50
