Insee - Statistiques locales; ; ; ; 
Référentiel géographique : France par intercommunalité; ; ; ; 
Code;Libellé;Population municipale 2020;Répartition de la pop. en 3 classes d'âges 2019 - Moins de 25 ans;Répartition de la pop. en 3 classes d'âges 2019 - Entre 25 et 64 ans;Répartition de la pop. en 3 classes d'âges 2019 - 65 ans ou plus;Part des pers. âgées de 25 à 64 ans 2019
200041879;CC Terres de Saône;13187;3511;7009;2804;52.6
200041887;CC du Val Marnaysien;14427;4372;7445;2546;51.8
200041960;CC Pévèle-Carembault;97129;29394;50226;16763;52.1
200041994;CC Haut Val de Sèvre;30671;9092;15481;6244;50.2
200042000;CC Bruyères-Vallons des Vosges;15040;4194;7421;3500;49.1
200042174;CA Lorient Agglomération;205765;54473;101160;49375;49.3
200042182;CC du Mont des Avaloirs;15670;3788;7571;4481;47.8
200042190;CA de la Porte du Hainaut;158578;52130;79383;27200;50
200042372;CC des Coteaux Arrats Gimone;10745;2644;5402;2688;50.3
200042414;CC Bresse Revermont 71;9898;2427;4703;2752;47.6
200042463;CC de la Montagne Noire;5838;1329;2889;1601;49.6
200042497;CC Dombes Saône Vallée;39725;12438;20486;6196;52.4
200042604;CC de Granville, Terre et Mer;44569;10182;19909;14237;44.9
200042620;CC de la Région de Suippes;7745;2699;3825;1176;49.7
200042646;CC Grand Orb communauté de communes en Languedoc;19958;4192;9500;6353;47.4
200042653;CC Sud-Hérault;17999;4328;8541;5036;47.7
200042703;CC de l'Argonne Champenoise;11862;3098;5740;3120;48
200042729;CC de la Baie du Cotentin;23153;5918;11269;5840;48.9
200042901;CC Drôme Sud Provence;42937;12445;21772;8480;51
200042935;CA Haut - Bugey Agglomération;63216;19336;32265;11764;50.9
200042943;CC du Cap Corse;6655;1148;3388;2170;50.5
200042992;CC Perthois-Bocage et Der;5622;1420;2918;1339;51.4
200043016;CC Val de Charente;13753;3155;6388;4234;46.4
200043065;CC du Val d'Amboise;27757;7615;13578;6509;49
200043081;CC Chinon, Vienne et Loire;23456;5992;11466;6007;48.9
200043123;CC Auray Quiberon Terre Atlantique;89233;22003;43347;23056;49
200043156;CC du Pays Rethélois;30012;8872;15259;5774;51
200043172;CA du Bassin de Brive;107216;27801;52133;27347;48.6
200043263;CC Cœur de l'Avesnois;29279;8788;14623;6040;49.7
200043321;CC du Pays de Mormal;48318;14148;24876;9339;51.4
200043354;CC de Villedieu Intercom;15653;3992;7561;4094;48.3
200043396;CA Maubeuge Val de Sambre;124770;40579;61544;22962;49.2
200043404;CC du Sud Avesnois;24603;7804;11837;5172;47.7
200043438;CC de la Moivre à la Coole;9439;2641;4926;1902;52
200043495;CA du Pays de Laon;41853;12831;21172;8144;50.2
200043602;CC des Albères, de la Côte Vermeille et de l'Illibéris;56597;12394;25347;18010;45.5
200043628;CC des Vallées du Clain;26984;7736;14190;4953;52.8
200043693;CC Terre Lorraine du Longuyonnais;15391;4268;8041;3069;52.3
200043776;CC Pyrénées Audoises;13665;2472;6455;4835;46.9
200043974;CC du Sud Gironde;39211;10967;19841;8152;50.9
200043982;CC du Bazadais;15769;3783;7803;4214;49.4
200043990;CC Vallons de Haute-Bretagne Communauté;44247;14311;23035;6661;52.3
200044014;CC Creuse Grand Sud;11711;2573;5740;3480;48.7
200044030;CC des 7 Vallées;29522;8226;14613;6763;49.4
200044048;CC Osartis Marquion;42476;12509;22184;7609;52.4
200044253;CC du Bassin de Joinville en Champagne;12343;3145;6075;3201;48.9
200044394;CC du Réolais en Sud Gironde;23868;6367;11795;5737;49.4
200044469;CC du Pays de Mirepoix;10548;2518;5164;2830;49.1
200044618;CA Douaisis Agglo;148875;46774;74050;27960;49.8
200044691;CA du Nord Grande Terre;56120;16279;28442;11746;50.4
200046977;Métropole de Lyon;1416545;479170;701809;230593;49.7
200048551;CC du Pays de Craon;28647;8463;13791;6438;48.1
200049187;CA du Grand Verdun;27412;7910;13611;5973;49.5
200049211;CC Conflent-Canigó;20686;4807;9640;6112;46.9
200049484;CC Berry Grand Sud;11559;2348;5368;3907;46.2
200050532;CC de Petite-Terre;N/A - résultat non disponible;N/A;N/A;N/A;N/A - résultat non disponible
200054781;Métropole du Grand Paris;7086619;2205581;3836670;1052398;54.1
200054807;Métropole d'Aix-Marseille-Provence;1903173;564103;952446;382012;50.2
200055481;CC Beauce Val de Loire;19587;5569;9814;4300;49.9
200055655;CA Roissy Pays de France;357929;132876;182374;42146;51
200055887;CC Mayenne Communauté;36678;10615;18014;8090;49.1
200056232;CA Communauté Paris-Saclay;314485;102984;162274;48536;51.7
200056380;CA Plaine Vallée;183428;58821;94405;29899;51.6
200057859;CA Cœur d'Essonne Agglomération;204454;67260;106565;29703;52.4
200057958;CA Paris - Vallée de la Marne;227011;78664;118909;30606;52.1
200058360;CC Entre Beauce et Perche;21094;6250;10756;4126;50.9
200058477;CA Val d'Yerres Val de Seine;177572;59190;89126;29132;50.2
200058485;CA Val Parisis;284254;92894;147532;41601;52.3
200058519;CA Saint Germain Boucles de Seine;336128;106350;174899;56366;51.8
200058782;CA de Saint-Quentin-en-Yvelines;228500;78091;119561;30487;52.4
200059228;CA Grand Paris Sud Seine Essonne Sénart;355010;131603;180979;41406;51.1
200059392;CC Bièvre Isère;55314;16582;27611;10831;50.2
200059400;CC Porte Océane du Limousin;25630;6250;12529;6907;48.8
200059871;CC du Centre-Ouest;N/A - résultat non disponible;N/A;N/A;N/A;N/A - résultat non disponible
200059889;CU Grand Paris Seine et Oise;424510;142466;215344;63288;51.1
200060010;CA Mauges Communauté;120454;37268;60462;21700;50.6
200060457;CA de Dembeni/Mamoudzou;N/A - résultat non disponible;N/A;N/A;N/A;N/A - résultat non disponible
200060465;CA du Grand Nord de Mayotte;N/A - résultat non disponible;N/A;N/A;N/A;N/A - résultat non disponible
200060473;CC du Sud;N/A - résultat non disponible;N/A;N/A;N/A;N/A - résultat non disponible
200065563;CC Normandie-Cabourg-Pays d'Auge;31329;7843;14943;8425;47.9
200065589;CC Val ès Dunes;18706;6031;9427;3102;50.8
200065597;CU Caen la Mer;272343;88769;130109;51378;48.1
200065647;CA Pays de Montbéliard Agglomération;139590;40594;68333;31042;48.8
200065787;CC de Pont-Audemer / Val de Risle;32651;9470;16638;6693;50.7
200065886;CA Loire Forez Agglomération;111128;31586;55089;24097;49.7
200065894;CC de Forez-Est;64083;17804;31295;14738;49
200065928;CA Lannion-Trégor Communauté;100188;24017;46288;29442;46.4
200066009;CA Mulhouse Alsace Agglomération;273767;82649;139526;51958;50.9
200066017;CC Lieuvin Pays d'Auge;20456;5886;10332;4301;50.4
200066025;CC Pays Rhin - Brisach;33686;9393;18274;5792;54.6
200066033;CC Sud Alsace Largue;22322;6343;11847;4127;53.1
200066041;CC Sundgau;47711;12567;25788;9242;54.2
200066058;CA Saint-Louis Agglomération;82859;22561;44654;14482;54.7
200066108;CC des Portes de Meuse;16235;4091;8463;3834;51.6
200066116;CC Argonne-Meuse;7003;1741;3462;1838;49.2
200066124;CA Gaillac-Graulhet;74603;20294;36507;17486;49.1
200066132;CC du Pays de Stenay et du Val Dunois;9533;2501;4531;2562;47.2
200066140;CC de l'Aire à l'Argonne;6423;1698;3260;1494;50.5
200066157;CC de Commercy - Void - Vaucouleurs;22069;6171;11109;4912;50.1
200066165;CC Val de Meuse - Voie Sacrée;9029;2633;4652;1803;51.2
200066173;CC de Damvillers Spincourt;8121;2495;4190;1512;51.1
200066223;CC Arize Lèze;10982;2589;5466;2824;50.2
200066231;CC des Portes d'Ariège Pyrénées;39958;11498;19615;8515;49.5
200066280;CC du Pithiverais;29269;8913;14673;5695;50.1
200066322;CC Terres des Confluences;42170;12278;20086;9470;48
200066330;CC Terres du Haut Berry;26114;6829;13455;5776;51.6
200066348;CC du Minervois au Caroux;14447;3000;7047;4481;48.5
200066355;CA Sète Agglopôle Méditerranée;127927;32040;60640;33695;48
200066363;CC de la Haute Ariège;7103;1341;3488;2258;49.2
200066371;CC Causses et Vallée de la Dordogne;45085;9829;21717;13516;48.2
200066389;CA Saint-Lô Agglo;76494;21729;37739;16649;49.6
200066405;CC Roumois Seine;41424;12317;20993;7761;51.1
200066413;CC Intercom Bernay Terres de Normandie;54442;14837;26954;13038;49.2
200066462;CC Interco Normandie Sud Eure;37865;10719;18845;8577;49.4
200066512;CC Élan Limousin Avenir Nature;27667;7097;14181;6487;51.1
200066520;CC Ouest Limousin;11310;2321;5486;3499;48.5
200066553;CC des Monts de Lacaune et de la Montagne du Haut Languedoc;7978;1601;3937;2447;49.3
200066561;CC Sidobre Vals et Plateaux;12399;2611;6378;3478;51.2
200066587;CC des Monts du Lyonnais;35002;10653;17933;6522;51.1
200066603;CC du Pays de Lubersac-Pompadour;7480;1458;3679;2358;49.1
200066637;CC Hautes Terres Communauté;11405;2229;5675;3650;49.1
200066645;CC Vézère-Monédières-Millesources;4921;809;2200;1967;44.2
200066652;CC Grand Sud Tarn et Garonne;42859;13443;22113;6988;52
200066660;CC Saint-Flour Communauté;23447;5617;11776;6122;50.1
200066678;CC de la Châtaigneraie Cantalienne;21091;4711;10201;6187;48.3
200066710;CC Cingal-Suisse Normande;24668;7643;12632;4241;51.5
200066728;CC Vallées de l'Orne et de l'Odon;25881;8494;13215;3981;51.4
200066744;CC Haute-Corrèze Communauté;32888;7779;16146;9178;48.8
200066751;CC Xaintrie Val'Dordogne;11249;2089;5327;3882;47.2
200066769;CC Midi Corrézien;12972;2700;6323;3933;48.8
200066777;CC Ploërmel Communauté;42244;11027;20561;10436;48.9
200066785;CC de l'Oust à Brocéliande;39243;10990;19379;8701;49.6
200066793;CA du Grand Annecy;209389;59592;107592;40118;51.9
200066801;CC Isigny-Omaha Intercom;26438;7245;13069;6228;49.2
200066819;CC du Volvestre;30567;8877;15780;5687;52
200066827;CC du Pays de Honfleur-Beuzeville;27172;7711;13653;5761;50.3
200066835;CC de Sézanne-Sud Ouest Marnais;21145;5439;10688;5141;50.3
200066850;CC des Paysages de la Champagne;20954;5535;10870;4648;51.6
200066868;CC Presqu'île de Crozon-Aulne maritime;22419;5416;10688;6337;47.6
