name,address,business_status,latitude,longitude
Pistas de padel.,Funes,CLOSED_TEMPORARILY,42.3182045,-1.8019486
SMASH padel jaca,"C. Río Gállego, 14, Jaca",OPERATIONAL,42.5625384,-0.566735
SMASH padel jaca,"C. Río Gállego, 14, Jaca",OPERATIONAL,42.5625384,-0.566735
CLUB DATCHBALL SABIÑÁNIGO,"C. Derechos Humanos, 3, Sabiñánigo",OPERATIONAL,42.5027913,-0.3612183
Zona Deportiva la Corona,"P.º de la Corona, 0, Sabiñánigo",OPERATIONAL,42.5269801,-0.3666706
Centro Deportivo Municipal de Fiscal,"Av. Jesús, s/n, Fiscal",OPERATIONAL,42.4980994,-0.1170845
CLUB DATCHBALL SABIÑÁNIGO,"C. Derechos Humanos, 3, Sabiñánigo",OPERATIONAL,42.5027913,-0.3612183
Padel Life & Mas,Aínsa,OPERATIONAL,42.4185121,0.1491417
Instalaciones deportivas municipales,Lafortunada,OPERATIONAL,42.5432679,0.1959505
Padel Serradells,"Centre Esportiu Serradells, Ctra. de la Comella i de la Plana, Andorra la Vella",OPERATIONAL,42.499396,1.5195095
Padel CAL PUJOL,"C/ Nord, Alàs",OPERATIONAL,42.3516799,1.5068644
Urban Sport Padel Club La Seu,La Seu d'Urgell,OPERATIONAL,42.3606273,1.46235
Padel & Putting Green Mas d'en Roqueta,"Mas d'en Roqueta, 1, Aravell",OPERATIONAL,42.366471,1.402932
Princiesport,"Av. d'Enclar, núm, 105, Santa Coloma",OPERATIONAL,42.4930253,1.4976555
Go AND Padel,"Av. Nacions Unides 17, 4to 1ra, Escaldes-Engordany",OPERATIONAL,42.50976929999999,1.5347241
Camp d'Andorra,Andorra la Vella,OPERATIONAL,42.5007953,1.5293988
Club & Escola. Tennis & Pàdel. La Massana ANDORRA,"Tennis & Pàdel Club (La Massana - Serradells, Antic Camí Ral, s/n, La Massana",OPERATIONAL,42.544344,1.516863
MyWorldPadel,"Av. Príncep Benlloch, Encamp",OPERATIONAL,42.534741,1.5787433
Padelife,"Carrer Verge del Remei, Santa Coloma",OPERATIONAL,42.4941594,1.499615
Padel Nuestro Andorra,"Carrer de na Maria Pla, 8, Andorra la Vella",OPERATIONAL,42.5077064,1.5332684
Club Tennis Santa Coloma,"Carrer Verge del Remei, 11, Santa Coloma",OPERATIONAL,42.49412419999999,1.4993546
Unió Esports,"Carrer Mossen Cinto Verdaguer nº2, local, 2, Andorra la Vella",OPERATIONAL,42.508518,1.5223098
"AnyósPark, el Club","Carretera d'Anyós, sn, Anyós, La Massana",OPERATIONAL,42.53267779999999,1.5239574
Padel Serradells,"Centre Esportiu Serradells, Ctra. de la Comella i de la Plana, Andorra la Vella",OPERATIONAL,42.499396,1.5195095
Pista de Padel Click&Padel,Bellver de Cerdanya,OPERATIONAL,42.3683357,1.7771979
Padel CAL PUJOL,"C/ Nord, Alàs",OPERATIONAL,42.3516799,1.5068644
Urban Sport Padel Club La Seu,La Seu d'Urgell,OPERATIONAL,42.3606273,1.46235
Princiesport,"Av. d'Enclar, núm, 105, Santa Coloma",OPERATIONAL,42.4930253,1.4976555
Go AND Padel,"Av. Nacions Unides 17, 4to 1ra, Escaldes-Engordany",OPERATIONAL,42.50976929999999,1.5347241
Camp d'Andorra,Andorra la Vella,OPERATIONAL,42.5007953,1.5293988
Club & Escola. Tennis & Pàdel. La Massana ANDORRA,"Tennis & Pàdel Club (La Massana - Serradells, Antic Camí Ral, s/n, La Massana",OPERATIONAL,42.544344,1.516863
MyWorldPadel,"Av. Príncep Benlloch, Encamp",OPERATIONAL,42.534741,1.5787433
Padelife,"Carrer Verge del Remei, Santa Coloma",OPERATIONAL,42.4941594,1.499615
Padel Nuestro Andorra,"Carrer de na Maria Pla, 8, Andorra la Vella",OPERATIONAL,42.5077064,1.5332684
Club Tennis Santa Coloma,"Carrer Verge del Remei, 11, Santa Coloma",OPERATIONAL,42.49412419999999,1.4993546
Unió Esports,"Carrer Mossen Cinto Verdaguer nº2, local, 2, Andorra la Vella",OPERATIONAL,42.508518,1.5223098
"AnyósPark, el Club","Carretera d'Anyós, sn, Anyós, La Massana",OPERATIONAL,42.53267779999999,1.5239574
Pista de Padel Click&Padel,Bellver de Cerdanya,OPERATIONAL,42.3683357,1.7771979
Pista de padel Queixans,"Camí Mas d'en Serra, 7, Queixans",OPERATIONAL,42.3954369,1.9192868
Pistes de Padel,"Carrer del Ginebró, 1, Bolvir",OPERATIONAL,42.41683,1.873
CLUB ESPORTIU CERDANYA,"Avinguda de Llevant, 5, Das",OPERATIONAL,42.364973,1.8591493
La Molina Club d'Esports,"Avinguda Supermolina, La Molina",OPERATIONAL,42.33628059999999,1.9373797
Tennis Club,"Av. du Grand Termanal, Bolquère",OPERATIONAL,42.5186277,2.0667601
Font-Romeu,"26 lotVillage, Bolquère",OPERATIONAL,42.50250500000001,2.0779169
La Molina Club d'Esports,"Avinguda Supermolina, La Molina",OPERATIONAL,42.33628059999999,1.9373797
Club Poliesportiu Puigcerdà,"Avinguda Ramon Condomines, s/n, Puigcerdà",OPERATIONAL,42.4397358,1.9351826
